Core.size Pan.size BIC LogLikelihood
2 components 8319 93235 583754.125842894 -291859.932347768
3 components 7776 131939 356673.004262504 -178307.951175119
4 components 5439 192693 339865.339580505 -169892.698451667
5 components 5358 231182 339823.529977464 -169860.373267694
6 components 1676 375304 339031.150080318 -169452.762936667
7 components 2103 231279 339037.878366031 -169444.706697071
8 components 5 221419 339082.772741003 -169455.733502104
9 components 0 168045 340679.274824989 -170242.564161644
10 components 5 185367 339539.52051313 -169661.266623261
Sample 8345 91161 NA NA
